date,strategy_return,benchmark_return,num_selected,avg_prediction
2024-01-05,0.016016963035517532,0.006221627345827186,10,0.54910165
2024-01-12,-0.01478591799222255,0.001229862850265197,10,0.54004467
2024-01-19,-0.0010878096184964597,0.009633801377182585,10,0.5387384
2024-01-26,0.01573938045720815,0.00751948693464184,10,0.5666712
2024-02-02,0.03529745759558807,0.008944606806144529,10,0.5226058
2024-02-09,0.006915481560638728,0.00806814840341614,10,0.5309075
2024-02-16,0.01902446100984407,0.013887518955181961,10,0.52976656
2024-02-23,0.0884180549177225,0.01564426292353851,10,0.5388432
2024-03-01,0.04381726304481705,0.010602330696916776,10,0.52947634
2024-03-08,-0.0013719707642300297,-0.005051194874310183,10,0.5548675
2024-03-15,0.02444557433129789,0.019717232957750744,10,0.5372445
2024-03-22,0.01951111684771876,0.015412383436827961,10,0.5360892
2024-03-29,-0.004586754377770501,-0.014880810787185854,10,0.5417485
2024-04-05,-0.03306540404449812,-0.02609958802869133,10,0.54165745
2024-04-12,-0.029068124980859276,-0.015492836966473264,10,0.5474664
2024-04-19,0.0402710617575492,0.020839849722626376,10,0.53918064
2024-04-26,0.00850734834731898,0.0034659467830723068,10,0.55852723
2024-05-03,0.009295912334253859,0.021109844848609633,10,0.5380504
2024-05-10,0.04270582714882937,0.012812069365061133,10,0.544919
2024-05-17,0.045025538120489095,-0.010356706469170111,10,0.5453657
2024-05-24,-0.02130221173565406,-0.002499408087896811,10,0.5431879
2024-05-31,-0.01158074581874352,-0.006008344376223193,10,0.55047023
2024-06-07,0.02826711884654906,-0.002480503524676189,10,0.54187745
2024-06-14,-0.0045690006240395814,0.012620618102138747,10,0.55804145
2024-06-21,-0.0056892307665324,-0.002816428403725871,10,0.54919636
2024-06-28,0.001301935486485851,-0.0017061281217177146,10,0.544803
2024-07-05,0.04169161107272304,0.028215840452842422,10,0.5403653
2024-07-12,0.006299609540979955,-0.0019396368790219418,10,0.53653574
2024-07-19,-0.005741556036038249,0.006740203725616427,10,0.5307408
2024-07-26,-0.032540302179931396,-0.020633719882112923,10,0.53474945
2024-08-02,0.009789228564334462,0.0026111501084680145,10,0.55024904
2024-08-09,0.05258306462616891,0.028519787737371183,10,0.5314974
2024-08-16,0.039147109090744356,0.021194781986162224,10,0.5365624
2024-08-23,-0.026112166648160278,0.008156175648328323,10,0.59911335
2024-08-30,-0.06379675963164803,-0.03371804138708529,10,0.558108
2024-09-06,0.0644747588626891,0.031892097211967355,10,0.565997
2024-09-13,0.04392777816622392,0.01767176998295957,10,0.53365993
2024-09-20,0.011969171376096922,0.012652596324978223,10,0.57730806
2024-09-27,0.006195476129450252,-0.0005345615952341216,10,0.5650352
2024-10-04,0.009443896726269647,0.00966227342277192,10,0.5572913
2024-10-11,-0.01392411283951647,0.010793672911419673,10,0.53696096
2024-10-18,-0.03264981459385619,-0.01930707285837419,10,0.53779346
2024-10-25,0.0010308632711997887,-0.009945298155983428,10,0.53417957
2024-11-01,0.039354924898141685,0.04913873125907361,10,0.5394498
2024-11-08,-0.014779061455510861,-0.016043579803073315,10,0.521322
2024-11-15,0.12668872887783483,0.03021921772277266,10,0.56041425
2024-11-22,0.02704655683758157,0.010657251377982086,10,0.54906213
2024-11-29,0.03187260937043653,-0.009809342204108205,10,0.55414015
2024-12-06,-0.05205263530443573,-0.017440385097252795,10,0.568534
2024-12-13,-0.03585062221301783,-0.030394635167076814,10,0.5557135
2024-12-20,-0.00876134189579313,0.0031222591095933427,10,0.5553993
