date,selected_stocks,portfolio_return,avg_prediction
2024-01-05,"ABBV, LLY, IBKR, WRB, AMGN, SATS, COIN, MPWR, ON, AMAT",0.016016963035517532,0.54910165
2024-01-12,"NOW, CRM, APP, UBER, DASH, ALB, TSLA, NEM, BA, CVS",-0.01478591799222255,0.54004467
2024-01-19,"CDNS, WDC, QCOM, FAST, KLAC, NEM, HUM, FSLR, AES, APA",-0.0010878096184964597,0.5387385
2024-01-26,"PSX, SMCI, UAL, COF, HAL, SATS, HUM, GILD, PYPL, NOC",0.01573938045720815,0.56667125
2024-02-02,"SMCI, GM, HCA, SYK, VST, TER, GOOG, GEN, AFL, HAL",0.03529745759558807,0.5226058
2024-02-09,"WSM, SMCI, EMR, GEHC, GNRC, LITE, FOX, TTWO, PSKY, MRNA",0.006915481560638729,0.5309075
2024-02-16,"SW, TPR, VTRS, LDOS, DVA, WST, GNRC, MGM, MU, NOW",0.01902446100984407,0.5297666
2024-02-23,"EQT, DELL, SMCI, NVDA, EME, PLTR, PSKY, TSLA, FSLR, BKNG",0.0884180549177225,0.5388432
2024-03-01,"HOOD, CVNA, FIX, ERIE, COIN, VTRS, PODD, CBOE, IFF, ALGN",0.04381726304481705,0.52947634
2024-03-08,"NEM, D, SBAC, RMD, EW, PANW, WDAY, AVGO, ALB, AAPL",-0.0013719707642300297,0.5548675
2024-03-15,"PYPL, HOOD, VRT, EG, WST, ADBE, AMD, COHR, BA, EQT",0.02444557433129789,0.53724456
2024-03-22,"WSM, TFC, CDNS, AES, AVGO, EPAM, ACN, ERIE, ABT, CTSH",0.01951111684771876,0.5360892
2024-03-29,"MU, WDC, MRK, EL, DOC, NVDA, ANET, ORLY, CCL, UPS",-0.004586754377770501,0.5417485
2024-04-05,"VLO, META, APP, VST, NRG, HOOD, UAL, CCL, RL, CHTR",-0.03306540404449812,0.5416574
2024-04-12,"AAPL, COST, GOOGL, GOOG, MRNA, VST, DELL, CVS, DECK, FAST",-0.029068124980859276,0.54746646
2024-04-19,"PM, PGR, AXP, WFC, ELV, JBL, VRT, AMD, MU, PLD",0.04027106175754921,0.5391807
2024-04-26,"GL, CARR, MPWR, MCHP, NVDA, META, NUE, BG, ODFL, TXT",0.00850734834731898,0.5585272
2024-05-03,"VST, PFE, SATS, AES, ALB, SMCI, EL, BAX, FTNT, CVS",0.009295912334253859,0.5380505
2024-05-10,"TPL, GL, SW, GEN, WAT, SATS, TSLA, MRNA, ALGN, COIN",0.04270582714882936,0.544919
2024-05-17,"GEN, TER, COHR, MRNA, SATS, FIX, APP, HUBB, LULU, MLM",0.0450255381204891,0.5453657
2024-05-24,"ROST, FIX, VST, CEG, QCOM, CVNA, LULU, WST, LOW, NDSN",-0.02130221173565406,0.543188
2024-05-31,"VTR, CHTR, AMT, PLD, DECK, DELL, VRT, CVNA, NOW, CRM",-0.011580745818743519,0.5504703
2024-06-07,"UBER, ORCL, COIN, NVDA, CRWD, CEG, BLDR, ALB, AES, DG",0.02826711884654906,0.5418775
2024-06-14,"CRWD, COHR, CEG, NVDA, KKR, MRNA, CCL, NCLH, HBAN, ALB",-0.004569000624039581,0.55804145
2024-06-21,"SMCI, GL, SYF, CVNA, ACN, ALB, MRNA, NVDA, BALL, EQT",-0.005689230766532399,0.5491964
2024-06-28,"F, RF, APP, BKR, SYF, SMCI, FSLR, RMD, BBY, WSM",0.0013019354864858494,0.544803
2024-07-05,"AVGO, FCX, AMD, GOOG, VRT, LVS, GPC, NCLH, PHM, LEN",0.04169161107272304,0.5403652
2024-07-12,"TPR, LOW, INCY, NCLH, PHM, DAL, UAL, DDOG, META, NOW",0.006299609540979951,0.5365358
2024-07-19,"PHM, HSIC, CBOE, SOLV, CFG, KLAC, FCX, CRWD, LRCX, CDNS",-0.005741556036038249,0.5307408
2024-07-26,"CNC, TMO, DHR, ALLE, RTX, TER, CRWD, VRT, LULU, XYZ",-0.0325403021799314,0.53474945
2024-08-02,"MCD, DASH, APD, KHC, SO, CRWD, HOOD, MGM, CCL, LITE",0.009789228564334462,0.55024904
2024-08-09,"PH, EXPE, FICO, PLTR, KVUE, ABNB, SMCI, SBAC, EPAM, SATS",0.05258306462616891,0.5314974
2024-08-16,"APP, COHR, KEY, AVGO, NKE, ALB, STLD, CNP, SOLV, CSX",0.039147109090744356,0.5365624
2024-08-23,"LITE, SATS, KEYS, WBD, LEN, MRNA, MU, LRCX, ALGN, VLO",-0.026112166648160278,0.59911335
