date,ticker,group,prediction,next_week_return,mom_1w,mom_2w,mom_4w,vol_4w,score
2024-01-05,ABBV,top,0.5413003,0.0111732795213153,0.0462670624394265,0.0464694106653373,0.0861467907904891,0.0217530286145243,3.032423205572849
2024-01-05,LLY,top,0.5368739,0.0393987016670658,0.0611230468220314,0.0844330741430672,0.0342777939202472,0.0438992205689969,1.243054487333089
2024-01-05,IBKR,top,0.5366087,0.0050045234460009,0.0605548688571764,0.0707588576293059,0.0573661857186909,0.0423166978228462,1.462200668675501
2024-01-05,WRB,top,0.53429174,-0.0208446177573452,0.0514705794612377,0.0591084698965644,0.0514912822544482,0.0263792088624714,2.030736577808091
2024-01-05,AMGN,top,0.53394675,0.0115842840814266,0.0520102692226458,0.0663005294545167,0.1258918237349766,0.0163137304625002,5.68049565340369
2024-01-05,SATS,bottom,0.5824472,0.270569543491056,-0.237175583819053,-0.112982432047526,-0.0306748174616889,0.1713698414129034,-0.5637566018162685
2024-01-05,COIN,bottom,0.5693708,-0.1506689024027093,-0.1146504292280212,-0.1225210880069898,0.0501977960404991,0.124886256186432,-0.2767305404832686
2024-01-05,MPWR,bottom,0.55849314,0.0083104743367536,-0.0900316308516706,-0.0692100842095979,-0.0014537417621479,0.0800571722067685,-0.4927347263748956
2024-01-05,ON,bottom,0.5503146,-0.0294583331233654,-0.0937387997783063,-0.0989168548586963,-0.0057788605848881,0.0908785024252066,-0.564004081600464
2024-01-05,AMAT,bottom,0.54736924,0.015100677094977,-0.0806442419902983,-0.0805306943014688,0.0086649868964023,0.0723787254258607,-0.496084375505174
2024-01-12,NOW,top,0.52930033,0.0273321246500657,0.0784134252796369,0.0321164790122272,0.044311438486857,0.0503234740727399,0.9414930025356828
2024-01-12,CRM,top,0.52930033,0.0329129768325466,0.0828687472158897,0.0334041319582183,0.0394875568753558,0.0546439328983364,0.8464639826732206
2024-01-12,APP,top,0.52930033,-0.0136657805642679,0.0944633538825829,0.0466750484710676,0.0440550259805228,0.0640446338919943,0.8562321581034538
2024-01-12,UBER,top,0.52930033,0.0302215162081476,0.0976033128372311,0.0264739495889954,0.021661819259078,0.0671802162993219,0.5691681623513126
2024-01-12,DASH,top,0.52930033,0.021127481375829,0.098301866204187,0.0529881473972182,0.0252042686451261,0.0619247523331038,0.7764473048425631
2024-01-12,ALB,bottom,0.55986834,-0.0866323366119894,-0.0720016987529248,-0.1275607711577704,-0.142866646626088,0.0410950298537191,-3.012545320433989
2024-01-12,TSLA,bottom,0.55667764,-0.0306089678236759,-0.0783191110080252,-0.1190840182174517,-0.1365286020132211,0.0331290778616645,-3.600862147652063
